Semaine	Ma 1	Ma 2	Ma 3	Ma 4	Ma 5	Ma 6	Ma 7	Ma 8	Ch 1	Ch 2	Ch 3	Ch 4	Ch 5	SI 1	SI 2	CHSI 1	CHSI 2	Ph 1	Ph 2	Ph 3	Ph 4	Ph 5	Ph 6	Ph 7	Ph 8	An 1	An 2	An 3	An 4	An 5	An 6	An 7	An 8
28/01/19	3	5	7	9	11	13	15	1	7	9	11	13	15	1	3	5	0	2	4	6	8	10	12	14	16	2	4	6	8	10	12	14	16
04/02/19	4	6	8	10	12	14	16	2	8	10	12	14	16	2	4	6	0	3	5	7	9	11	13	15	1	3	5	7	9	11	13	15	1
11/02/19	5	7	9	11	13	15	1	3	9	11	13	15	7	5	0	1	3	4	6	8	10	12	14	16	2	4	6	8	10	12	14	16	2
04/03/19	6	2	10	12	14	16	8	4	10	12	14	16	8	6	0	2	4	5	7	9	11	13	15	1	3	5	7	9	11	13	15	1	3
11/03/19	7	3	11	13	15	1	9	5	11	13	15	7	9	1	3	5	0	6	2	10	12	14	16	8	4	6	8	10	12	14	16	2	4
18/03/19	2	4	12	14	16	8	10	6	12	14	16	8	10	2	4	6	0	7	3	11	13	15	1	9	5	7	9	11	13	15	1	3	5
25/03/19	1	5	13	15	9	3	11	7	13	15	7	9	11	5	0	3	1	2	4	12	14	16	8	10	6	8	10	12	14	16	2	4	6
01/04/19	2	6	14	16	10	4	12	8	14	16	8	10	12	6	0	4	2	1	5	13	15	9	3	11	7	9	11	13	15	1	3	5	7
08/04/19	1	3	15	11	13	5	7	9	15	7	9	11	13	1	3	5	0	2	6	14	16	10	4	12	8	10	12	14	16	2	4	6	8
29/04/19	2	4	16	12	14	6	8	10	16	8	10	12	14	2	4	6	0	1	3	15	11	13	5	7	9	11	13	15	1	3	5	7	9
06/05/19	3	5	1	13	15	7	9	11	7	9	11	13	15	5	0	1	3	2	4	16	12	14	6	8	10	12	14	16	2	4	6	8	10
13/05/19	4	6	2	14	16	8	10	12	8	10	12	14	16	6	0	2	4	3	5	1	13	15	7	9	11	13	15	1	3	5	7	9	11
20/05/19	5	1	3	15	7	9	11	13	7	9	11	13	15	3	1	5	0	4	6	2	14	16	8	10	12	14	16	2	4	6	8	10	12
27/05/19	6	2	4	16	8	10	12	14	8	10	12	14	16	4	2	6	0	5	1	3	15	7	9	11	13	15	1	3	5	7	9	11	13
03/06/19	1	3	5	7	9	11	13	15	9	11	13	15	7	5	0	1	3	6	2	4	16	8	10	12	14	16	2	4	6	8	10	12	14
10/06/19	2	4	6	8	10	12	14	16	10	12	14	16	8	6	0	4	2	1	3	5	7	9	11	13	15	1	3	5	7	9	11	13	15
17/06/19	3	5	7	9	11	13	15	1	11	13	15	7	9	1	3	5	0	2	4	6	8	10	12	14	16	2	4	6	8	10	12	14	16
24/06/19	4	6	8	10	12	14	16	2	12	14	16	8	10	2	4	6	0	3	5	7	9	11	13	15	1	3	5	7	9	11	13	15	1
