Semaine du	Info Mlong	info Izi	TD mercredi 7h45	TP phys 15h40
28/01/19	11,12,13,14,15,16	7,8,9,10	1,2,3,4,5,6,13,14,15,16	1,2,7,8,9,10,11,12
04/02/19	0	1,2,3,4,5,6	1,2,3,4,5,6,9,10,11,12	3,4,7,8,13,14,15,16
11/02/19	11,12,13,14,15,16	0	1,2,3,4,5,6,7,8,15,16	5,6,9,10,11,12,13,14
18/02/19	0	0	0	0
25/02/19	0	0	0	0
04/03/19	7,8,9,10	1,2,3,4,5,6	1,2,3,4,5,6,9,10,13,14	7,8,11,12,15,16
11/03/19	7,8,9,10	11,12,13,14,15,16	1,2,3,4,5,6,7,8,11,12	9,10,13,14,15,16
18/03/19	0	1,2,3,4,5,6	1,2,3,4,5,6,16,14,15,13	11,12,7,8,9,10
25/03/19	11,12,13,14,15,16	0	1,2,3,4,5,6,12,10,11,9	13,14,7,8,15,16
01/04/19	7,8,9,10	1,2,3,4,5,6	1,2,3,4,5,6,16,8,15,7	15,16,9,10,11,12,13,14
08/04/19	11,12,13,14,15,16	7,8,9,10	1,2,3,4,5,6,13,10,9,14	1,2,7,8,9,10,11,12
15/04/19	0	0	0	0
22/04/19	0	0	0	0
29/04/19	0	1,2,3,4,5,6	1,2,3,4,5,6,8,12,7,11	3,4,9,10,13,14,15,16
06/05/19	11,12,13,14,15,16	0	1,2,3,4,5,6,13,14,15,16	5,6,7,8,9,10,11,12
13/05/19	7,8,9,10	1,2,3,4,5,6	1,2,3,4,5,6,9,10,11,12	7,8,13,14,15,16
20/05/19	7,8,9,10	11,12,13,14,15,16	1,2,3,4,5,6,16,7,8,15	9,10,13,14,15,16
27/05/19	0	1,2,3,4,5,6	1,2,3,4,5,6,13,14,9,10	11,12,7,8,15,16
03/06/19	11,12,13,14,15,16	0	1,2,3,4,5,6,11,12,7,8	13,14,9,10,15,16
10/06/19	7,8,9,10	1,2,3,4,5,6	1,2,3,4,5,6,16,14,15,13	15,16,7,8,9,10,11,12
17/06/19	11,12,13,14,15,16	7,8,9,10	1,2,3,4,5,6,12,10,11,9	1,2,7,8,13,14,15,16
24/06/19	0	1,2,3,4,5,6	1,2,3,4,5,6,16,8,15,7	3,4,9,10,11,12,13,14
